,Coin,Pair_tuple,Exchange
547,XLR,BTC,Kucoin
548,SNM,BTC,Binance
549,SPHTX,BTC,Kucoin
550,SPC,USDT,Hitbtc
551,SIG,BTC,Hitbtc
552,SMS,BTC,Hitbtc
553,SPHR,BTC,Bittrex
554,SPD,BTC,Hitbtc
555,SPF,BTC,Okex
556,SPR,BTC,Bittrex
557,STC,USDT,Okex
558,EURS,USDT,Hitbtc
559,SNT,BTC,Binance
560,XST,BTC,Bittrex
561,STEEM,BTC,Binance
562,SBD,BTC,Bittrex
563,XLM,USDT,Binance
564,STK,BTC,Kucoin
565,SCC,BTC,Hitbtc
566,STQ,BTC,Hitbtc
567,STORJ,BTC,Binance
568,STORM,BTC,Binance
569,STX,USDT,Hitbtc
570,STAK,BTC,Hitbtc
571,STRAT,BTC,Binance
572,DATA,BTC,Binance
573,SUB,BTC,Binance
574,SNC,BTC,Okex
575,SBTC,BTC,Okex
576,SUR,BTC,Hitbtc
577,SWM,BTC,Hitbtc
578,SWT,BTC,Bittrex
579,SWFTC,USDT,Okex
580,CHSB,BTC,Kucoin
581,SYNX,BTC,Bittrex
582,AMP,BTC,Bittrex
583,SYS,BTC,Binance
584,TAAS,BTC,Hitbtc
585,TGT,BTC,Hitbtc
586,TTU,BTC,Hitbtc
587,TCN,BTC,Hitbtc
588,TFD,BTC,Kucoin
589,TEL,BTC,Kucoin
590,PAY,BTC,Okex
591,USDT,USD,Bitfinex
592,XTZ,USDT,Hitbtc
593,ABYSS,BTC,Hitbtc
594,TKY,BTC,Kucoin
595,GET,BTC,Hitbtc
596,THETA,BTC,Binance
597,TNT,BTC,Binance
598,TNB,BTC,Binance
599,TKN,BTC,Hitbtc
600,TCT,USDT,Okex
601,TDS,USDT,Hitbtc
602,TKS,BTC,Bittrex
603,TKA,USDT,Hitbtc
604,TOMO,BTC,Kucoin
605,TOPC,BTC,Okex
606,TIO,BTC,Kucoin
607,BBC,BTC,Hitbtc
608,TX,BTC,Bittrex
609,TMT,BTC,Kucoin
610,TRIG,BTC,Binance
611,TNC,BTC,Kucoin
612,TRIO,USDT,Okex
613,TRX,USDT,Binance
614,TRUE,USDT,Okex
615,TFL,BTC,Kucoin
616,TUSD,USDT,Binance
617,TRUST,BTC,Bittrex
618,UUU,BTC,Hitbtc
619,UBQ,BTC,Bittrex
620,UCT,BTC,Okex
621,UGC,USDT,Okex
622,UT,BTC,Kucoin
623,UNB,BTC,Bittrex
624,UKG,BTC,Bittrex
625,UBTC,USDT,Okex
626,UTT,USDT,Hitbtc
627,UP,BTC,Bittrex
628,USE,BTC,Kucoin
629,UTK,BTC,Kucoin
630,VET,USDT,Binance
631,XVG,BTC,Binance
632,VRC,BTC,Bittrex
633,VERI,BTC,Hitbtc
634,VRM,BTC,Bittrex
635,VTC,BTC,Bittrex
636,VIA,BTC,Binance
637,VIBE,BTC,Binance
638,VIB,BTC,Binance
639,VIT,BTC,Hitbtc
640,VITE,BTC,Okex
641,VIU,BTC,Okex
642,VOISE,BTC,Hitbtc
643,IPL,BTC,Hitbtc
644,WABI,BTC,Binance
645,WTC,BTC,Binance
646,WAN,BTC,Binance
647,WAVES,BTC,Binance
648,WAX,BTC,Bittrex
649,WPR,BTC,Binance
650,TRST,BTC,Hitbtc
651,XWC,BTC,Bittrex
652,WIKI,USDT,Hitbtc
653,WILD,BTC,Hitbtc
654,WINGS,BTC,Binance
655,WIN,USDT,Okex
656,WRC,USDT,Okex
657,XAUR,BTC,Hitbtc
658,XRP,USDT,Binance
659,YEE,USDT,Okex
660,YOU,BTC,Okex
661,YOYO,BTC,Binance
662,YCC,BTC,Hitbtc
663,ZAP,BTC,Hitbtc
664,ZEC,BTC,Hitbtc
665,ZCL,BTC,Bittrex
666,XZC,BTC,Binance
667,ZCO,BTC,Okex
668,ZPT,BTC,Kucoin
669,ZSC,BTC,Hitbtc
670,ZIL,BTC,Binance
671,ZINC,BTC,Kucoin
672,ZIP,USDT,Okex
673,ZRC,BTC,Hitbtc
