,Coin,Pair_tuple,Exchange
345,LA,BTC,Kucoin
346,LBC,BTC,Bittrex
347,LDC,BTC,Hitbtc
348,LUC,BTC,Hitbtc
349,LEV,BTC,Okex
350,LIFE,BTC,Hitbtc
351,LIGHT,BTC,Okex
352,LNC,BTC,Hitbtc
353,LET,USDT,Okex
354,LSK,BTC,Hitbtc
355,LTC,USDT,Hitbtc
356,LCC,BTC,Hitbtc
357,LWF,BTC,Hitbtc
358,LOCI,BTC,Kucoin
359,LOC,BTC,Hitbtc
360,LMC,BTC,Bittrex
361,LOOM,BTC,Binance
362,LRC,BTC,Binance
363,LUN,BTC,Binance
364,LYM,BTC,Kucoin
365,ART,BTC,Hitbtc
366,MAG,USDT,Okex
367,XMG,BTC,Bittrex
368,MAID,BTC,Hitbtc
369,MFT,BTC,Binance
370,MKR,BTC,Okex
371,GUP,BTC,Bittrex
372,MAN,BTC,Kucoin
373,MTX,BTC,Hitbtc
374,MXM,BTC,Hitbtc
375,MCAP,BTC,Hitbtc
376,MDT,USDT,Okex
377,MTN,BTC,Kucoin
378,MLN,BTC,Kraken
379,MEME,BTC,Bittrex
380,MVP,BTC,Kucoin
381,MER,BTC,Bittrex
382,MTL,BTC,Binance
383,ETP,USD,Bitfinex
384,MET,BTC,Bittrex
385,AMM,USDT,Okex
386,MNE,BTC,Hitbtc
387,MNX,BTC,Hitbtc
388,MITH,USDT,Okex
389,EMGO,BTC,Hitbtc
390,MOBI,BTC,Kucoin
391,MOD,BTC,Binance
392,MDA,BTC,Binance
393,MOF,BTC,Okex
394,MONA,BTC,Bittrex
395,XMR,BTC,Binance
396,XMC,BTC,Hitbtc
397,XMO,BTC,Hitbtc
398,MUE,BTC,Bittrex
399,MTH,BTC,Binance
400,MORE,BTC,Bittrex
401,MITX,BTC,Hitbtc
402,MUSIC,BTC,Bittrex
403,XMY,BTC,Bittrex
404,NGC,BTC,Bittrex
405,NMC,BTC,Poloniex
406,NANJ,BTC,Hitbtc
407,NANO,BTC,Binance
408,NAV,BTC,Binance
409,NAVI,BTC,Hitbtc
410,NEBL,BTC,Binance
411,NAS,BTC,Binance
412,XEM,BTC,Binance
413,NEO,USDT,Binance
414,NEOS,BTC,Bittrex
415,NEU,BTC,Hitbtc
416,NTK,BTC,Hitbtc
417,NXC,BTC,Bittrex
418,NEXO,BTC,Hitbtc
419,NXS,BTC,Binance
420,NIM,BTC,Hitbtc
421,NOAH,BTC,Hitbtc
422,NLC2,BTC,Bittrex
423,NBT,BTC,Bittrex
424,NCASH,BTC,Binance
425,NULS,BTC,Binance
426,NMR,BTC,Bittrex
427,NUSD,USDT,Kucoin
428,NXT,BTC,Hitbtc
429,OAX,BTC,Binance
430,ODN,BTC,Hitbtc
