,Coin,Pair_tuple,Exchange
312,INS,BTC,Okex
313,INSUR,BTC,Okex
314,INT,BTC,Okex
315,IOP,BTC,Bittrex
316,IFT,BTC,Hitbtc
317,ION,BTC,Bittrex
318,IOST,BTC,Binance
319,ITC,BTC,Okex
320,IOTA,BTC,Binance
321,IOTX,BTC,Binance
322,IPC,BTC,Okex
323,ING,BTC,Kucoin
324,IVY,BTC,Hitbtc
325,IXT,BTC,Hitbtc
326,J8T,BTC,Kucoin
327,JNT,BTC,Kucoin
328,JOT,BTC,Hitbtc
329,KBC,BTC,Hitbtc
330,KCASH,BTC,Okex
331,KICK,BTC,Kucoin
332,KIND,BTC,Hitbtc
333,KMD,BTC,Binance
334,KORE,BTC,Bittrex
335,KBR,BTC,Hitbtc
336,KCS,BTC,Kucoin
337,KNC,BTC,Binance
338,LALA,BTC,Kucoin
339,TAU,BTC,Hitbtc
340,PIX,BTC,Hitbtc
341,LA,BTC,Kucoin
342,LBC,BTC,Bittrex
343,LDC,BTC,Hitbtc
344,LUC,BTC,Hitbtc
345,LEV,BTC,Okex
346,LIFE,BTC,Hitbtc
347,LIGHT,BTC,Okex
348,LNC,BTC,Hitbtc
349,LET,BTC,Okex
350,LSK,BTC,Hitbtc
351,LTC,BTC,Binance
352,LCC,BTC,Hitbtc
353,LWF,BTC,Hitbtc
354,LOCI,BTC,Kucoin
355,LOC,BTC,Hitbtc
356,LMC,BTC,Bittrex
357,LOOM,BTC,Binance
358,LRC,BTC,Binance
359,LUN,BTC,Binance
360,LYM,BTC,Kucoin
361,ART,BTC,Hitbtc
362,MAG,BTC,Okex
363,XMG,BTC,Bittrex
364,MAID,BTC,Hitbtc
365,MFT,BTC,Binance
366,MKR,BTC,Okex
367,GUP,BTC,Bittrex
368,MAN,BTC,Kucoin
369,MTX,BTC,Hitbtc
370,MXM,BTC,Hitbtc
371,MCAP,BTC,Hitbtc
372,MDT,BTC,Okex
373,MTN,BTC,Kucoin
374,MLN,BTC,Kraken
375,MEME,BTC,Bittrex
376,MVP,BTC,Kucoin
377,MER,BTC,Bittrex
378,MTL,BTC,Binance
379,ETP,BTC,Bitfinex
380,MET,BTC,Bittrex
381,AMM,BTC,Okex
382,MNE,BTC,Hitbtc
383,MNX,BTC,Hitbtc
384,MITH,BTC,Okex
385,EMGO,BTC,Hitbtc
386,MOBI,BTC,Kucoin
387,MOD,BTC,Binance
388,MDA,BTC,Binance
389,MOF,BTC,Okex
390,MONA,BTC,Bittrex
391,XMR,BTC,Binance
392,XMC,BTC,Hitbtc
393,XMO,BTC,Hitbtc
394,MUE,BTC,Bittrex
395,MTH,BTC,Binance
396,MORE,BTC,Bittrex
397,MITX,BTC,Hitbtc
398,MUSIC,BTC,Bittrex
399,XMY,BTC,Bittrex
400,NGC,BTC,Bittrex
401,NMC,BTC,Poloniex
402,NANJ,BTC,Hitbtc
403,NANO,BTC,Binance
404,NAV,BTC,Binance
405,NAVI,BTC,Hitbtc
406,NEBL,BTC,Binance
407,NAS,BTC,Binance
408,XEM,BTC,Binance
409,NEO,BTC,Binance
410,NEOS,BTC,Bittrex
411,NEU,BTC,Hitbtc
412,NTK,BTC,Hitbtc
413,NXC,BTC,Bittrex
414,NEXO,BTC,Hitbtc
415,NXS,BTC,Binance
416,NIM,BTC,Hitbtc
417,NOAH,BTC,Hitbtc
418,NLC2,BTC,Bittrex
419,NBT,BTC,Bittrex
420,NCASH,BTC,Binance
421,NULS,BTC,Binance
422,NMR,BTC,Bittrex
423,NUSD,BTC,Kucoin
424,NXT,BTC,Hitbtc
425,OAX,BTC,Binance
426,ODN,BTC,Hitbtc
427,OCN,BTC,Bittrex
428,OF,BTC,Okex
429,OK,BTC,Bittrex
430,MOT,BTC,Okex
431,OMG,BTC,Binance
432,OMNI,BTC,Bittrex
433,OLT,BTC,Kucoin
434,RNT,BTC,Okex
435,ONT,BTC,Binance
436,OPEN,BTC,Kucoin
437,OTN,BTC,Hitbtc
438,OPT,BTC,Hitbtc
439,ORS,BTC,Okex
440,TRAC,BTC,Kucoin
441,ORME,BTC,Hitbtc
442,OST,BTC,Binance
443,CHX,BTC,Hitbtc
444,PRL,BTC,Kucoin
445,SHL,BTC,Kucoin
446,PRG,BTC,Hitbtc
447,PARETO,BTC,Kucoin
448,PART,BTC,Bittrex
449,PASC,BTC,Poloniex
450,PTOY,BTC,Bittrex
451,PAT,BTC,Hitbtc
452,PAX,BTC,Binance
453,PMNT,BTC,Hitbtc
454,PCL,BTC,Hitbtc
455,PPC,BTC,Hitbtc
456,PNT,BTC,Hitbtc
457,PTC,BTC,Bittrex
458,SOUL,BTC,Kucoin
459,PLR,BTC,Hitbtc
460,PINK,BTC,Bittrex
461,PIVX,BTC,Binance
462,IOG,BTC,Kucoin
463,PKT,BTC,Hitbtc
464,PLU,BTC,Hitbtc
